Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
24/10/2020,Ath Madrid,Betis,2,0,2,6,3,1.55,3.8,6.5,H
25/10/2020,Valladolid,Alaves,0,2,-2,1,4,2.3,2.9,3.5,A
25/10/2020,Cadiz,Villarreal,0,0,0,0,2,3.6,3.3,2.1,D
25/10/2020,Getafe,Granada,0,1,-1,1,2,1.85,3.1,5.0,A
25/10/2020,Sociedad,Huesca,4,1,3,6,4,1.57,3.75,6.0,H
26/10/2020,Levante,Celta,1,1,0,3,3,2.37,3.25,3.0,D
30/10/2020,Eibar,Cadiz,0,2,-2,3,4,2.55,2.75,3.3,A
31/10/2020,Real Madrid,Huesca,4,1,3,6,2,1.33,5.25,9.0,H
31/10/2020,Ath Bilbao,Sevilla,2,1,1,5,3,3.0,3.0,2.6,H
31/10/2020,Osasuna,Ath Madrid,1,3,-2,3,6,5.5,3.3,1.75,A
31/10/2020,Alaves,Barcelona,1,1,0,3,9,6.5,4.75,1.44,D
01/11/2020,Betis,Elche,3,1,2,10,2,1.45,4.33,7.5,H
01/11/2020,Celta,Sociedad,1,4,-3,2,7,3.0,3.2,2.45,A
01/11/2020,Granada,Levante,1,1,0,2,4,2.25,3.2,3.4,D
01/11/2020,Valencia,Getafe,2,2,0,5,5,3.1,3.1,2.45,D
02/11/2020,Villarreal,Valladolid,2,0,2,5,1,1.61,4.0,5.5,H
06/11/2020,Elche,Celta,1,1,0,1,6,4.0,3.3,1.95,D
07/11/2020,Huesca,Eibar,1,1,0,6,3,2.05,3.3,3.6,D
07/11/2020,Barcelona,Betis,5,2,3,9,6,1.4,5.0,7.5,H
07/11/2020,Sevilla,Osasuna,1,0,1,1,2,1.5,4.0,7.0,H
07/11/2020,Ath Madrid,Cadiz,4,0,4,7,3,1.4,4.2,10.0,H
08/11/2020,Getafe,Villarreal,1,3,-2,5,5,2.5,3.1,3.0,A
08/11/2020,Sociedad,Granada,2,0,2,9,1,1.65,3.8,5.25,H
