Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
07/11/2020,Parma,Fiorentina,0.0,0.0,0.0,0.0,4.0,3.4,3.6,2.0,D
08/11/2020,Lazio,Juventus,1.0,1.0,0.0,3.0,6.0,3.5,3.75,1.95,D
08/11/2020,Atalanta,Inter,1.0,1.0,0.0,4.0,3.0,2.6,3.9,2.35,D
08/11/2020,Genoa,Roma,1.0,3.0,-2.0,5.0,11.0,5.75,4.2,1.53,A
08/11/2020,Torino,Crotone,0.0,0.0,0.0,1.0,2.0,1.95,3.75,3.6,D
08/11/2020,Bologna,Napoli,0.0,1.0,-1.0,4.0,4.0,4.75,4.2,1.65,A
08/11/2020,Milan,Verona,2.0,2.0,0.0,9.0,3.0,1.45,4.5,6.5,D
21/11/2020,Crotone,Lazio,0.0,2.0,-2.0,6.0,9.0,4.75,4.0,1.66,A
21/11/2020,Spezia,Atalanta,0.0,0.0,0.0,3.0,5.0,6.5,5.25,1.4,D
21/11/2020,Juventus,Cagliari,2.0,0.0,2.0,8.0,0.0,1.28,5.5,10.0,H
22/11/2020,Fiorentina,Benevento,0.0,1.0,-1.0,3.0,4.0,1.5,4.75,5.5,A
22/11/2020,Inter,Torino,4.0,2.0,2.0,7.0,6.0,1.33,5.75,8.0,H
22/11/2020,Roma,Parma,3.0,0.0,3.0,7.0,1.0,1.5,4.75,5.75,H
22/11/2020,Sampdoria,Bologna,1.0,2.0,-1.0,4.0,5.0,2.5,3.5,2.7,A
22/11/2020,Verona,Sassuolo,0.0,2.0,-2.0,7.0,5.0,3.2,3.8,2.1,A
22/11/2020,Udinese,Genoa,1.0,0.0,1.0,4.0,1.0,1.8,3.75,4.33,H
22/11/2020,Napoli,Milan,1.0,3.0,-2.0,9.0,7.0,2.3,3.5,3.0,A
28/11/2020,Sassuolo,Inter,0.0,3.0,-3.0,3.0,4.0,4.33,4.1,1.72,A
28/11/2020,Benevento,Juventus,1.0,1.0,0.0,5.0,5.0,7.5,4.75,1.4,D
28/11/2020,Atalanta,Verona,0.0,2.0,-2.0,6.0,3.0,1.36,5.25,7.5,A
29/11/2020,Lazio,Udinese,1.0,3.0,-2.0,6.0,4.0,1.66,4.0,4.75,A
29/11/2020,Bologna,Crotone,1.0,0.0,1.0,7.0,1.0,1.66,4.0,4.75,H
29/11/2020,Milan,Fiorentina,2.0,0.0,2.0,5.0,3.0,1.7,3.8,5.0,H
29/11/2020,Cagliari,Spezia,2.0,2.0,0.0,4.0,5.0,2.15,3.4,3.4,D
