Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
07/12/2020,Hoffenheim,Augsburg,3,1,2,7,3,1.83,4.2,3.8,H
11/12/2020,Wolfsburg,Ein Frankfurt,2,1,1,8,4,2.3,3.6,2.8,H
12/12/2020,Dortmund,Stuttgart,1,5,-4,4,10,1.5,4.5,6.0,A
12/12/2020,Freiburg,Bielefeld,2,0,2,7,1,1.75,3.8,4.5,H
12/12/2020,Mainz,FC Koln,0,1,-1,4,6,2.37,3.6,2.87,A
12/12/2020,M'gladbach,Hertha,1,1,0,4,3,1.9,4.0,3.6,D
12/12/2020,RB Leipzig,Werder Bremen,2,0,2,7,2,1.36,5.0,8.5,H
12/12/2020,Union Berlin,Bayern Munich,1,1,0,6,5,8.5,6.0,1.28,D
13/12/2020,Augsburg,Schalke 04,2,2,0,4,4,1.9,3.75,3.8,D
13/12/2020,Leverkusen,Hoffenheim,4,1,3,8,4,1.75,4.33,4.0,H
15/12/2020,Ein Frankfurt,M'gladbach,3,3,0,4,4,2.62,3.8,2.45,D
15/12/2020,Hertha,Mainz,0,0,0,0,0,1.72,4.0,4.5,D
15/12/2020,Stuttgart,Union Berlin,2,2,0,6,6,2.05,3.6,3.4,D
15/12/2020,Werder Bremen,Dortmund,1,2,-1,3,9,5.5,5.0,1.5,A
16/12/2020,Schalke 04,Freiburg,0,2,-2,2,5,2.9,3.5,2.3,A
16/12/2020,Bayern Munich,Wolfsburg,2,1,1,2,7,1.33,5.5,8.5,H
16/12/2020,Bielefeld,Augsburg,0,1,-1,2,2,2.87,3.3,2.5,A
16/12/2020,FC Koln,Leverkusen,0,4,-4,1,7,5.0,4.2,1.61,A
16/12/2020,Hoffenheim,RB Leipzig,0,1,-1,3,3,4.5,4.5,1.6,A
18/12/2020,Union Berlin,Dortmund,2,1,1,5,4,4.75,4.0,1.65,H
19/12/2020,Augsburg,Ein Frankfurt,0,2,-2,4,6,3.8,3.75,1.95,A
19/12/2020,Mainz,Werder Bremen,0,1,-1,1,7,2.37,3.5,2.9,A
19/12/2020,M'gladbach,Hoffenheim,1,2,-1,5,5,1.9,4.2,3.5,A
19/12/2020,RB Leipzig,FC Koln,0,0,0,6,1,1.28,5.75,9.5,D
19/12/2020,Schalke 04,Bielefeld,0,1,-1,5,3,2.15,3.4,3.4,A
19/12/2020,Leverkusen,Bayern Munich,1,2,-1,3,3,4.0,4.2,1.83,A
20/12/2020,Freiburg,Hertha,4,1,3,9,3,2.5,3.5,2.7,H
20/12/2020,Wolfsburg,Stuttgart,1,0,1,4,1,2.25,3.6,3.0,H
02/01/2021,Bielefeld,M'gladbach,0,1,-1,0,7,5.75,4.33,1.53,A
02/01/2021,Ein Frankfurt,Leverkusen,2,1,1,4,2,3.2,3.6,2.1,H
02/01/2021,FC Koln,Augsburg,0,1,-1,2,4,2.35,3.4,3.0,A
02/01/2021,Hoffenheim,Freiburg,1,3,-2,6,4,2.0,3.8,3.3,A
02/01/2021,Werder Bremen,Union Berlin,0,2,-2,2,2,2.9,3.3,2.37,A
02/01/2021,Hertha,Schalke 04,3,0,3,10,4,1.65,4.0,4.8,H
02/01/2021,Stuttgart,RB Leipzig,0,1,-1,1,9,3.8,4.0,1.8,A
03/01/2021,Dortmund,Wolfsburg,2,0,2,7,5,1.55,4.2,5.75,H
03/01/2021,Bayern Munich,Mainz,5,2,3,12,7,1.12,9.0,19.0,H
08/01/2021,M'gladbach,Bayern Munich,3,2,1,4,4,4.75,4.75,1.57,H
09/01/2021,Freiburg,FC Koln,5,0,5,6,2,1.9,3.6,3.8,H
09/01/2021,Leverkusen,Werder Bremen,1,1,0,3,1,1.44,4.75,6.5,D
09/01/2021,Mainz,Ein Frankfurt,0,2,-2,0,7,3.5,3.8,1.95,A
09/01/2021,Schalke 04,Hoffenheim,4,0,4,5,5,4.5,4.0,1.72,H
09/01/2021,Union Berlin,Wolfsburg,2,2,0,6,5,2.9,3.3,2.45,D
09/01/2021,RB Leipzig,Dortmund,1,3,-2,4,7,2.2,3.5,3.2,A
10/01/2021,Augsburg,Stuttgart,1,4,-3,4,11,3.25,3.6,2.1,A
10/01/2021,Bielefeld,Hertha,1,0,1,2,6,4.0,3.75,1.85,H
15/01/2021,Union Berlin,Leverkusen,1,0,1,2,4,3.3,3.5,2.2,H
16/01/2021,Dortmund,Mainz,1,1,0,7,3,1.2,7.0,13.0,D
16/01/2021,FC Koln,Hertha,0,0,0,2,3,3.25,3.4,2.25,D
16/01/2021,Hoffenheim,Bielefeld,0,0,0,5,2,1.66,4.0,5.0,D
16/01/2021,Werder Bremen,Augsburg,2,0,2,5,2,2.15,3.3,3.5,H
16/01/2021,Wolfsburg,RB Leipzig,2,2,0,2,9,3.6,3.6,2.0,D
16/01/2021,Stuttgart,M'gladbach,2,2,0,7,5,3.0,3.5,2.3,D
17/01/2021,Bayern Munich,Freiburg,2,1,1,9,3,1.22,7.5,11.0,H
17/01/2021,Ein Frankfurt,Schalke 04,3,1,2,11,1,1.5,4.33,6.5,H
19/01/2021,M'gladbach,Werder Bremen,1,0,1,6,2,1.57,4.2,5.75,H
