Date,HomeTeam,AwayTeam,FTHG,FTAG,GD,HST,AST,B365H,B365D,B365A,FTR
23/08/2020,Lorient,Strasbourg,3.0,1.0,2.0,7.0,1.0,2.5,3.2,3.0,H
23/08/2020,Nimes,Brest,4.0,0.0,4.0,5.0,3.0,2.3,3.2,3.3,H
23/08/2020,Nice,Lens,2.0,1.0,1.0,2.0,4.0,2.0,3.3,4.0,H
28/08/2020,Lyon,Dijon,4.0,1.0,3.0,12.0,2.0,1.28,5.75,9.0,H
29/08/2020,Rennes,Montpellier,2.0,1.0,1.0,7.0,3.0,2.0,3.3,3.8,H
29/08/2020,Strasbourg,Nice,0.0,2.0,-2.0,0.0,2.0,2.2,3.3,3.3,A
30/08/2020,Reims,Lille,0.0,1.0,-1.0,0.0,3.0,3.0,3.1,2.45,A
30/08/2020,Angers,Bordeaux,0.0,2.0,-2.0,2.0,7.0,2.25,3.1,3.4,A
30/08/2020,Metz,Monaco,0.0,1.0,-1.0,4.0,2.0,3.75,3.4,2.0,A
30/08/2020,Nantes,Nimes,2.0,1.0,1.0,5.0,9.0,1.95,3.2,4.2,H
30/08/2020,St Etienne,Lorient,2.0,0.0,2.0,5.0,1.0,2.2,3.2,3.4,H
30/08/2020,Brest,Marseille,2.0,3.0,-1.0,4.0,4.0,3.0,3.5,2.0,A
10/09/2020,Lens,Paris SG,1.0,0.0,1.0,3.0,1.0,5.0,4.0,1.65,H
11/09/2020,Bordeaux,Lyon,0.0,0.0,0.0,0.0,3.0,4.5,3.6,1.83,D
12/09/2020,Montpellier,Nice,3.0,1.0,2.0,13.0,1.0,2.2,3.3,3.4,H
12/09/2020,St Etienne,Strasbourg,2.0,0.0,2.0,4.0,7.0,2.2,3.2,3.5,H
13/09/2020,Lille,Metz,1.0,0.0,1.0,6.0,1.0,1.53,3.75,7.5,H
13/09/2020,Angers,Reims,1.0,0.0,1.0,7.0,2.0,2.37,3.0,3.4,H
13/09/2020,Dijon,Brest,0.0,2.0,-2.0,3.0,5.0,2.4,3.3,3.0,A
13/09/2020,Lorient,Lens,2.0,3.0,-1.0,3.0,6.0,2.1,3.3,3.75,A
13/09/2020,Nimes,Rennes,2.0,4.0,-2.0,9.0,6.0,3.3,3.3,2.25,A
13/09/2020,Monaco,Nantes,2.0,1.0,1.0,5.0,2.0,1.9,3.6,4.0,H
13/09/2020,Paris SG,Marseille,0.0,1.0,-1.0,4.0,2.0,,,,A
15/09/2020,Montpellier,Lyon,2.0,1.0,1.0,3.0,7.0,3.8,3.3,2.05,H
16/09/2020,Paris SG,Metz,1.0,0.0,1.0,8.0,1.0,1.25,7.0,9.0,H
17/09/2020,Marseille,St Etienne,0.0,2.0,-2.0,2.0,5.0,2.0,3.3,4.0,A
18/09/2020,Lyon,Nimes,0.0,0.0,0.0,3.0,3.0,1.3,5.5,10.0,D
19/09/2020,Lens,Bordeaux,2.0,1.0,1.0,5.0,3.0,2.3,3.1,3.4,H
19/09/2020,Rennes,Monaco,2.0,1.0,1.0,3.0,2.0,2.35,3.4,3.0,H
20/09/2020,Nice,Paris SG,0.0,3.0,-3.0,5.0,6.0,7.5,5.0,1.4,A
20/09/2020,Brest,Lorient,3.0,2.0,1.0,6.0,4.0,2.4,3.1,3.2,H
20/09/2020,Metz,Reims,2.0,1.0,1.0,4.0,4.0,2.55,3.0,3.1,H
20/09/2020,Montpellier,Angers,4.0,1.0,3.0,9.0,3.0,2.1,3.25,3.75,H
20/09/2020,Strasbourg,Dijon,1.0,0.0,1.0,6.0,2.0,1.65,3.75,5.5,H
20/09/2020,Nantes,St Etienne,2.0,2.0,0.0,3.0,4.0,2.3,3.1,3.4,D
20/09/2020,Marseille,Lille,1.0,1.0,0.0,2.0,7.0,2.3,3.2,3.3,D
25/09/2020,Lille,Nantes,2.0,0.0,2.0,4.0,6.0,1.66,3.75,5.5,H
26/09/2020,St Etienne,Rennes,0.0,3.0,-3.0,4.0,6.0,2.87,3.1,2.6,A
26/09/2020,Marseille,Metz,1.0,1.0,0.0,3.0,3.0,1.61,3.75,6.0,D
